"","bams","plate","code","lane","batch"
"101","/ugi/data/vincent/sequence.data/HCM/aligned//plate1/sol2c.012.lane5/sol2c.012.lane5.sorted.unique.bam","plate1","sol2c.012.lane5","lane5","plate1.lane5"
"102","/ugi/data/vincent/sequence.data/HCM/aligned//plate1/sol2c.012.lane6/sol2c.012.lane6.sorted.unique.bam","plate1","sol2c.012.lane6","lane6","plate1.lane6"
"103","/ugi/data/vincent/sequence.data/HCM/aligned//plate1/sol2c.012.lane7/sol2c.012.lane7.sorted.unique.bam","plate1","sol2c.012.lane7","lane7","plate1.lane7"
"104","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane1/sol1c.001.lane1.sorted.unique.bam","plate2","sol1c.001.lane1","lane1","plate2.lane1"
"105","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane2/sol1c.001.lane2.sorted.unique.bam","plate2","sol1c.001.lane2","lane2","plate2.lane2"
"106","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane3/sol1c.001.lane3.sorted.unique.bam","plate2","sol1c.001.lane3","lane3","plate2.lane3"
"107","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane5/sol1c.001.lane5.sorted.unique.bam","plate2","sol1c.001.lane5","lane5","plate2.lane5"
"108","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane6/sol1c.001.lane6.sorted.unique.bam","plate2","sol1c.001.lane6","lane6","plate2.lane6"
"109","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane7/sol1c.001.lane7.sorted.unique.bam","plate2","sol1c.001.lane7","lane7","plate2.lane7"
"110","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.001.lane8/sol1c.001.lane8.sorted.unique.bam","plate2","sol1c.001.lane8","lane8","plate2.lane8"
"111","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane1/sol1c.002.lane1.sorted.unique.bam","plate2","sol1c.002.lane1","lane1","plate2.lane1"
"112","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane2/sol1c.002.lane2.sorted.unique.bam","plate2","sol1c.002.lane2","lane2","plate2.lane2"
"113","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane3/sol1c.002.lane3.sorted.unique.bam","plate2","sol1c.002.lane3","lane3","plate2.lane3"
"114","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane5/sol1c.002.lane5.sorted.unique.bam","plate2","sol1c.002.lane5","lane5","plate2.lane5"
"115","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane6/sol1c.002.lane6.sorted.unique.bam","plate2","sol1c.002.lane6","lane6","plate2.lane6"
"116","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane7/sol1c.002.lane7.sorted.unique.bam","plate2","sol1c.002.lane7","lane7","plate2.lane7"
"117","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.002.lane8/sol1c.002.lane8.sorted.unique.bam","plate2","sol1c.002.lane8","lane8","plate2.lane8"
"118","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane1/sol1c.003.lane1.sorted.unique.bam","plate2","sol1c.003.lane1","lane1","plate2.lane1"
"119","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane2/sol1c.003.lane2.sorted.unique.bam","plate2","sol1c.003.lane2","lane2","plate2.lane2"
"120","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane3/sol1c.003.lane3.sorted.unique.bam","plate2","sol1c.003.lane3","lane3","plate2.lane3"
"121","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane5/sol1c.003.lane5.sorted.unique.bam","plate2","sol1c.003.lane5","lane5","plate2.lane5"
"122","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane6/sol1c.003.lane6.sorted.unique.bam","plate2","sol1c.003.lane6","lane6","plate2.lane6"
"123","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane7/sol1c.003.lane7.sorted.unique.bam","plate2","sol1c.003.lane7","lane7","plate2.lane7"
"124","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.003.lane8/sol1c.003.lane8.sorted.unique.bam","plate2","sol1c.003.lane8","lane8","plate2.lane8"
"125","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane1/sol1c.004.lane1.sorted.unique.bam","plate2","sol1c.004.lane1","lane1","plate2.lane1"
"126","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane2/sol1c.004.lane2.sorted.unique.bam","plate2","sol1c.004.lane2","lane2","plate2.lane2"
"127","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane3/sol1c.004.lane3.sorted.unique.bam","plate2","sol1c.004.lane3","lane3","plate2.lane3"
"128","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane5/sol1c.004.lane5.sorted.unique.bam","plate2","sol1c.004.lane5","lane5","plate2.lane5"
"129","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane6/sol1c.004.lane6.sorted.unique.bam","plate2","sol1c.004.lane6","lane6","plate2.lane6"
"130","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane7/sol1c.004.lane7.sorted.unique.bam","plate2","sol1c.004.lane7","lane7","plate2.lane7"
"131","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.004.lane8/sol1c.004.lane8.sorted.unique.bam","plate2","sol1c.004.lane8","lane8","plate2.lane8"
"132","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane1/sol1c.005.lane1.sorted.unique.bam","plate2","sol1c.005.lane1","lane1","plate2.lane1"
"133","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane2/sol1c.005.lane2.sorted.unique.bam","plate2","sol1c.005.lane2","lane2","plate2.lane2"
"134","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane3/sol1c.005.lane3.sorted.unique.bam","plate2","sol1c.005.lane3","lane3","plate2.lane3"
"135","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane5/sol1c.005.lane5.sorted.unique.bam","plate2","sol1c.005.lane5","lane5","plate2.lane5"
"136","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane6/sol1c.005.lane6.sorted.unique.bam","plate2","sol1c.005.lane6","lane6","plate2.lane6"
"137","/ugi/data/vincent/sequence.data/HCM/aligned//plate2/sol1c.005.lane7/sol1c.005.lane7.sorted.unique.bam","plate2","sol1c.005.lane7","lane7","plate2.lane7"
